species_safe_name	species_label	candidate_module_count	candidate_functions	benchmark_modules	recommended_workflow
Beta_vulgaris	Beta vulgaris	7	Carotenoid cleavage dioxygenase / hormone-related regulation; Early nodulin-like meristem/regrowth candidate; MYB-like transcriptional regulator; NAC-like transcriptional regulator; Non-symbiotic hemoglobin / stress-resilience candidate; XTH / xyloglucan cell-wall remodeling; bHLH-like transcriptional regulator	Hormone_regulation; Meristem_bud_regrowth; Developmental_TF; Stress_resilience; Cell_wall_remodeling	Use Find by Species to identify homologous candidate modules, then use Gene-list-to-UGO for species-specific DEG/QTL/GWAS lists or Sequence-to-UGO for protein sequences.
Dioscorea_rotundata	Dioscorea rotundata	6	Carotenoid cleavage dioxygenase / hormone-related regulation; Early nodulin-like meristem/regrowth candidate; NAC-like transcriptional regulator; Non-symbiotic hemoglobin / stress-resilience candidate; XTH / xyloglucan cell-wall remodeling; bHLH-like transcriptional regulator	Hormone_regulation; Meristem_bud_regrowth; Developmental_TF; Stress_resilience; Cell_wall_remodeling	Use Find by Species to identify homologous candidate modules, then use Gene-list-to-UGO for species-specific DEG/QTL/GWAS lists or Sequence-to-UGO for protein sequences.
Musa_acuminata	Musa acuminata	6	Carotenoid cleavage dioxygenase / hormone-related regulation; Early nodulin-like meristem/regrowth candidate; NAC-like transcriptional regulator; Non-symbiotic hemoglobin / stress-resilience candidate; XTH / xyloglucan cell-wall remodeling; bHLH-like transcriptional regulator	Hormone_regulation; Meristem_bud_regrowth; Developmental_TF; Stress_resilience; Cell_wall_remodeling	Use Find by Species to identify homologous candidate modules, then use Gene-list-to-UGO for species-specific DEG/QTL/GWAS lists or Sequence-to-UGO for protein sequences.
Panicum_virgatum	Panicum virgatum	6	Carotenoid cleavage dioxygenase / hormone-related regulation; Early nodulin-like meristem/regrowth candidate; NAC-like transcriptional regulator; Non-symbiotic hemoglobin / stress-resilience candidate; XTH / xyloglucan cell-wall remodeling; bHLH-like transcriptional regulator	Hormone_regulation; Meristem_bud_regrowth; Developmental_TF; Stress_resilience; Cell_wall_remodeling	Use Find by Species to identify homologous candidate modules, then use Gene-list-to-UGO for species-specific DEG/QTL/GWAS lists or Sequence-to-UGO for protein sequences.
Brassica_rapa	Brassica rapa	5	Carotenoid cleavage dioxygenase / hormone-related regulation; Early nodulin-like meristem/regrowth candidate; NAC-like transcriptional regulator; Non-symbiotic hemoglobin / stress-resilience candidate; bHLH-like transcriptional regulator	Hormone_regulation; Meristem_bud_regrowth; Developmental_TF; Stress_resilience	Use Find by Species to identify homologous candidate modules, then use Gene-list-to-UGO for species-specific DEG/QTL/GWAS lists or Sequence-to-UGO for protein sequences.
Daucus_carota	Daucus carota	5	Carotenoid cleavage dioxygenase / hormone-related regulation; Early nodulin-like meristem/regrowth candidate; NAC-like transcriptional regulator; Non-symbiotic hemoglobin / stress-resilience candidate; bHLH-like transcriptional regulator	Hormone_regulation; Meristem_bud_regrowth; Developmental_TF; Stress_resilience	Use Find by Species to identify homologous candidate modules, then use Gene-list-to-UGO for species-specific DEG/QTL/GWAS lists or Sequence-to-UGO for protein sequences.
Manihot_esculenta	Manihot esculenta	5	Carotenoid cleavage dioxygenase / hormone-related regulation; Early nodulin-like meristem/regrowth candidate; NAC-like transcriptional regulator; Non-symbiotic hemoglobin / stress-resilience candidate; bHLH-like transcriptional regulator	Hormone_regulation; Meristem_bud_regrowth; Developmental_TF; Stress_resilience	Use Find by Species to identify homologous candidate modules, then use Gene-list-to-UGO for species-specific DEG/QTL/GWAS lists or Sequence-to-UGO for protein sequences.
Nelumbo_nucifera	Nelumbo nucifera	5	Carotenoid cleavage dioxygenase / hormone-related regulation; Early nodulin-like meristem/regrowth candidate; NAC-like transcriptional regulator; Non-symbiotic hemoglobin / stress-resilience candidate; bHLH-like transcriptional regulator	Hormone_regulation; Meristem_bud_regrowth; Developmental_TF; Stress_resilience	Use Find by Species to identify homologous candidate modules, then use Gene-list-to-UGO for species-specific DEG/QTL/GWAS lists or Sequence-to-UGO for protein sequences.
Solanum_tuberosum	Solanum tuberosum	5	Carotenoid cleavage dioxygenase / hormone-related regulation; Early nodulin-like meristem/regrowth candidate; NAC-like transcriptional regulator; Non-symbiotic hemoglobin / stress-resilience candidate; bHLH-like transcriptional regulator	Hormone_regulation; Meristem_bud_regrowth; Developmental_TF; Stress_resilience	Use Find by Species to identify homologous candidate modules, then use Gene-list-to-UGO for species-specific DEG/QTL/GWAS lists or Sequence-to-UGO for protein sequences.
Zingiber_officinale	Zingiber officinale	5	Carotenoid cleavage dioxygenase / hormone-related regulation; Early nodulin-like meristem/regrowth candidate; NAC-like transcriptional regulator; Non-symbiotic hemoglobin / stress-resilience candidate; bHLH-like transcriptional regulator	Hormone_regulation; Meristem_bud_regrowth; Developmental_TF; Stress_resilience	Use Find by Species to identify homologous candidate modules, then use Gene-list-to-UGO for species-specific DEG/QTL/GWAS lists or Sequence-to-UGO for protein sequences.
Oryza_longistaminata	Oryza longistaminata	4	Carotenoid cleavage dioxygenase / hormone-related regulation; Early nodulin-like meristem/regrowth candidate; Non-symbiotic hemoglobin / stress-resilience candidate; bHLH-like transcriptional regulator	Hormone_regulation; Meristem_bud_regrowth; Stress_resilience; Developmental_TF	Use Find by Species to identify homologous candidate modules, then use Gene-list-to-UGO for species-specific DEG/QTL/GWAS lists or Sequence-to-UGO for protein sequences.
