V0_6_Orthogroup	Mapped_9species_Orthogroup	Representative_function	Benchmark_module	Candidate_tier	Species	Gene_count	Present
OG0000387	OG0000154	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	Beta	10	True
OG0000387	OG0000154	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	Brassica	8	True
OG0000387	OG0000154	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	Musa	12	True
OG0000387	OG0000154	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	Carrot	1	True
OG0000387	OG0000154	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	Cassava	17	True
OG0000387	OG0000154	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	Lotus	10	True
OG0000387	OG0000154	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	Oryza	3	True
OG0000387	OG0000154	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	Potato	4	True
OG0000387	OG0000154	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	Ginger	10	True
OG0000665	OG0000273	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	Beta	3	True
OG0000665	OG0000273	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	Brassica	8	True
OG0000665	OG0000273	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	Musa	13	True
OG0000665	OG0000273	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	Carrot	7	True
OG0000665	OG0000273	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	Cassava	6	True
OG0000665	OG0000273	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	Lotus	4	True
OG0000665	OG0000273	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	Oryza	3	True
OG0000665	OG0000273	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	Potato	4	True
OG0000665	OG0000273	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	Ginger	13	True
OG0000729	OG0000863	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	Beta	3	True
OG0000729	OG0000863	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	Brassica	1	True
OG0000729	OG0000863	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	Musa	3	True
OG0000729	OG0000863	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	Carrot	4	True
OG0000729	OG0000863	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	Cassava	4	True
OG0000729	OG0000863	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	Lotus	10	True
OG0000729	OG0000863	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	Oryza	6	True
OG0000729	OG0000863	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	Potato	3	True
OG0000729	OG0000863	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	Ginger	6	True
