species_safe_name	species_label	species_layer	included_in_orthogroup_backbone	included_in_51_species_atlas	selection_status	selection_reason	candidate_module_count	candidate_functions	resource_layers	recommended_workflow	underground_organ_category	major_clade	resource_status	notes
Beta_vulgaris	Beta vulgaris	11_species_high_confidence_backbone	yes	yes_or_to_be_confirmed	selected	High-confidence genome/proteome resource suitable for orthogroup-based candidate transfer and toolkit workflows.	7	Carotenoid cleavage dioxygenase / hormone-related regulation; Early nodulin-like meristem/regrowth candidate; MYB-like transcriptional regulator; NAC-like transcriptional regulator; Non-symbiotic hemoglobin / stress-resilience candidate; XTH / xyloglucan cell-wall remodeling; bHLH-like transcriptional regulator	species-to-candidates; candidate module lookup; Gene-list-to-UGO compact mode; Sequence-to-UGO release archive if full database is downloaded	Use Find by Species to identify homologous candidate modules, then use Gene-list-to-UGO for species-specific DEG/QTL/GWAS lists or Sequence-to-UGO for protein sequences.			high_confidence_proteome_annotation	Backbone species used for UGO orthogroup inference, candidate-module transfer, Sequence-to-UGO, Gene-list-to-UGO, Resource Finder, and Organ Kits.
Dioscorea_rotundata	Dioscorea rotundata	11_species_high_confidence_backbone	yes	yes_or_to_be_confirmed	selected	High-confidence genome/proteome resource suitable for orthogroup-based candidate transfer and toolkit workflows.	6	Carotenoid cleavage dioxygenase / hormone-related regulation; Early nodulin-like meristem/regrowth candidate; NAC-like transcriptional regulator; Non-symbiotic hemoglobin / stress-resilience candidate; XTH / xyloglucan cell-wall remodeling; bHLH-like transcriptional regulator	species-to-candidates; candidate module lookup; Gene-list-to-UGO compact mode; Sequence-to-UGO release archive if full database is downloaded	Use Find by Species to identify homologous candidate modules, then use Gene-list-to-UGO for species-specific DEG/QTL/GWAS lists or Sequence-to-UGO for protein sequences.			high_confidence_proteome_annotation	Backbone species used for UGO orthogroup inference, candidate-module transfer, Sequence-to-UGO, Gene-list-to-UGO, Resource Finder, and Organ Kits.
Musa_acuminata	Musa acuminata	11_species_high_confidence_backbone	yes	yes_or_to_be_confirmed	selected	High-confidence genome/proteome resource suitable for orthogroup-based candidate transfer and toolkit workflows.	6	Carotenoid cleavage dioxygenase / hormone-related regulation; Early nodulin-like meristem/regrowth candidate; NAC-like transcriptional regulator; Non-symbiotic hemoglobin / stress-resilience candidate; XTH / xyloglucan cell-wall remodeling; bHLH-like transcriptional regulator	species-to-candidates; candidate module lookup; Gene-list-to-UGO compact mode; Sequence-to-UGO release archive if full database is downloaded	Use Find by Species to identify homologous candidate modules, then use Gene-list-to-UGO for species-specific DEG/QTL/GWAS lists or Sequence-to-UGO for protein sequences.			high_confidence_proteome_annotation	Backbone species used for UGO orthogroup inference, candidate-module transfer, Sequence-to-UGO, Gene-list-to-UGO, Resource Finder, and Organ Kits.
Panicum_virgatum	Panicum virgatum	11_species_high_confidence_backbone	yes	yes_or_to_be_confirmed	selected	High-confidence genome/proteome resource suitable for orthogroup-based candidate transfer and toolkit workflows.	6	Carotenoid cleavage dioxygenase / hormone-related regulation; Early nodulin-like meristem/regrowth candidate; NAC-like transcriptional regulator; Non-symbiotic hemoglobin / stress-resilience candidate; XTH / xyloglucan cell-wall remodeling; bHLH-like transcriptional regulator	species-to-candidates; candidate module lookup; Gene-list-to-UGO compact mode; Sequence-to-UGO release archive if full database is downloaded	Use Find by Species to identify homologous candidate modules, then use Gene-list-to-UGO for species-specific DEG/QTL/GWAS lists or Sequence-to-UGO for protein sequences.			high_confidence_proteome_annotation	Backbone species used for UGO orthogroup inference, candidate-module transfer, Sequence-to-UGO, Gene-list-to-UGO, Resource Finder, and Organ Kits.
Brassica_rapa	Brassica rapa	11_species_high_confidence_backbone	yes	yes_or_to_be_confirmed	selected	High-confidence genome/proteome resource suitable for orthogroup-based candidate transfer and toolkit workflows.	5	Carotenoid cleavage dioxygenase / hormone-related regulation; Early nodulin-like meristem/regrowth candidate; NAC-like transcriptional regulator; Non-symbiotic hemoglobin / stress-resilience candidate; bHLH-like transcriptional regulator	species-to-candidates; candidate module lookup; Gene-list-to-UGO compact mode; Sequence-to-UGO release archive if full database is downloaded	Use Find by Species to identify homologous candidate modules, then use Gene-list-to-UGO for species-specific DEG/QTL/GWAS lists or Sequence-to-UGO for protein sequences.			high_confidence_proteome_annotation	Backbone species used for UGO orthogroup inference, candidate-module transfer, Sequence-to-UGO, Gene-list-to-UGO, Resource Finder, and Organ Kits.
Daucus_carota	Daucus carota	11_species_high_confidence_backbone	yes	yes_or_to_be_confirmed	selected	High-confidence genome/proteome resource suitable for orthogroup-based candidate transfer and toolkit workflows.	5	Carotenoid cleavage dioxygenase / hormone-related regulation; Early nodulin-like meristem/regrowth candidate; NAC-like transcriptional regulator; Non-symbiotic hemoglobin / stress-resilience candidate; bHLH-like transcriptional regulator	species-to-candidates; candidate module lookup; Gene-list-to-UGO compact mode; Sequence-to-UGO release archive if full database is downloaded	Use Find by Species to identify homologous candidate modules, then use Gene-list-to-UGO for species-specific DEG/QTL/GWAS lists or Sequence-to-UGO for protein sequences.			high_confidence_proteome_annotation	Backbone species used for UGO orthogroup inference, candidate-module transfer, Sequence-to-UGO, Gene-list-to-UGO, Resource Finder, and Organ Kits.
Manihot_esculenta	Manihot esculenta	11_species_high_confidence_backbone	yes	yes_or_to_be_confirmed	selected	High-confidence genome/proteome resource suitable for orthogroup-based candidate transfer and toolkit workflows.	5	Carotenoid cleavage dioxygenase / hormone-related regulation; Early nodulin-like meristem/regrowth candidate; NAC-like transcriptional regulator; Non-symbiotic hemoglobin / stress-resilience candidate; bHLH-like transcriptional regulator	species-to-candidates; candidate module lookup; Gene-list-to-UGO compact mode; Sequence-to-UGO release archive if full database is downloaded	Use Find by Species to identify homologous candidate modules, then use Gene-list-to-UGO for species-specific DEG/QTL/GWAS lists or Sequence-to-UGO for protein sequences.			high_confidence_proteome_annotation	Backbone species used for UGO orthogroup inference, candidate-module transfer, Sequence-to-UGO, Gene-list-to-UGO, Resource Finder, and Organ Kits.
Nelumbo_nucifera	Nelumbo nucifera	11_species_high_confidence_backbone	yes	yes_or_to_be_confirmed	selected	High-confidence genome/proteome resource suitable for orthogroup-based candidate transfer and toolkit workflows.	5	Carotenoid cleavage dioxygenase / hormone-related regulation; Early nodulin-like meristem/regrowth candidate; NAC-like transcriptional regulator; Non-symbiotic hemoglobin / stress-resilience candidate; bHLH-like transcriptional regulator	species-to-candidates; candidate module lookup; Gene-list-to-UGO compact mode; Sequence-to-UGO release archive if full database is downloaded	Use Find by Species to identify homologous candidate modules, then use Gene-list-to-UGO for species-specific DEG/QTL/GWAS lists or Sequence-to-UGO for protein sequences.			high_confidence_proteome_annotation	Backbone species used for UGO orthogroup inference, candidate-module transfer, Sequence-to-UGO, Gene-list-to-UGO, Resource Finder, and Organ Kits.
Solanum_tuberosum	Solanum tuberosum	11_species_high_confidence_backbone	yes	yes_or_to_be_confirmed	selected	High-confidence genome/proteome resource suitable for orthogroup-based candidate transfer and toolkit workflows.	5	Carotenoid cleavage dioxygenase / hormone-related regulation; Early nodulin-like meristem/regrowth candidate; NAC-like transcriptional regulator; Non-symbiotic hemoglobin / stress-resilience candidate; bHLH-like transcriptional regulator	species-to-candidates; candidate module lookup; Gene-list-to-UGO compact mode; Sequence-to-UGO release archive if full database is downloaded	Use Find by Species to identify homologous candidate modules, then use Gene-list-to-UGO for species-specific DEG/QTL/GWAS lists or Sequence-to-UGO for protein sequences.			high_confidence_proteome_annotation	Backbone species used for UGO orthogroup inference, candidate-module transfer, Sequence-to-UGO, Gene-list-to-UGO, Resource Finder, and Organ Kits.
Zingiber_officinale	Zingiber officinale	11_species_high_confidence_backbone	yes	yes_or_to_be_confirmed	selected	High-confidence genome/proteome resource suitable for orthogroup-based candidate transfer and toolkit workflows.	5	Carotenoid cleavage dioxygenase / hormone-related regulation; Early nodulin-like meristem/regrowth candidate; NAC-like transcriptional regulator; Non-symbiotic hemoglobin / stress-resilience candidate; bHLH-like transcriptional regulator	species-to-candidates; candidate module lookup; Gene-list-to-UGO compact mode; Sequence-to-UGO release archive if full database is downloaded	Use Find by Species to identify homologous candidate modules, then use Gene-list-to-UGO for species-specific DEG/QTL/GWAS lists or Sequence-to-UGO for protein sequences.			high_confidence_proteome_annotation	Backbone species used for UGO orthogroup inference, candidate-module transfer, Sequence-to-UGO, Gene-list-to-UGO, Resource Finder, and Organ Kits.
Oryza_longistaminata	Oryza longistaminata	11_species_high_confidence_backbone	yes	yes_or_to_be_confirmed	selected	High-confidence genome/proteome resource suitable for orthogroup-based candidate transfer and toolkit workflows.	4	Carotenoid cleavage dioxygenase / hormone-related regulation; Early nodulin-like meristem/regrowth candidate; Non-symbiotic hemoglobin / stress-resilience candidate; bHLH-like transcriptional regulator	species-to-candidates; candidate module lookup; Gene-list-to-UGO compact mode; Sequence-to-UGO release archive if full database is downloaded	Use Find by Species to identify homologous candidate modules, then use Gene-list-to-UGO for species-specific DEG/QTL/GWAS lists or Sequence-to-UGO for protein sequences.			high_confidence_proteome_annotation	Backbone species used for UGO orthogroup inference, candidate-module transfer, Sequence-to-UGO, Gene-list-to-UGO, Resource Finder, and Organ Kits.
