species_safe_name	species_label	species_layer	included_in_orthogroup_backbone	included_in_51_species_atlas	selection_status	selection_reason	candidate_module_count	candidate_functions	resource_layers	recommended_workflow	underground_organ_category	major_clade	resource_status	notes
Daucus_carota	Daucus carota	both_51_species_atlas_and_11_species_backbone	yes	yes	selected_for_backbone	Selected for high-confidence orthogroup backbone.	6	Early nodulin-like meristem/regrowth candidate; Meristem_bud_regrowth; Non-symbiotic hemoglobin / stress-resilience candidate; Stress_resilience; Carotenoid cleavage dioxygenase / hormone-related regulation; Hormone_regulation; NAC-like transcriptional regulator; Developmental_TF; bHLH-like transcriptional regulator	broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	taproot_storage_root	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Manihot_esculenta	Manihot esculenta	both_51_species_atlas_and_11_species_backbone	yes	yes	selected_for_backbone	Selected for high-confidence orthogroup backbone.	6	Early nodulin-like meristem/regrowth candidate; Meristem_bud_regrowth; Carotenoid cleavage dioxygenase / hormone-related regulation; Hormone_regulation; Non-symbiotic hemoglobin / stress-resilience candidate; Stress_resilience; NAC-like transcriptional regulator; Developmental_TF; bHLH-like transcriptional regulator	broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	storage_root	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Nelumbo_nucifera	Nelumbo nucifera	both_51_species_atlas_and_11_species_backbone	yes	yes	selected_for_backbone	Selected for high-confidence orthogroup backbone.	6	Early nodulin-like meristem/regrowth candidate; Meristem_bud_regrowth; Non-symbiotic hemoglobin / stress-resilience candidate; Stress_resilience; Carotenoid cleavage dioxygenase / hormone-related regulation; Hormone_regulation; NAC-like transcriptional regulator; Developmental_TF; bHLH-like transcriptional regulator	broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	rhizome	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Oryza_longistaminata	Oryza longistaminata	both_51_species_atlas_and_11_species_backbone	yes	yes	selected_for_backbone	Selected for high-confidence orthogroup backbone.	5	Early nodulin-like meristem/regrowth candidate; Meristem_bud_regrowth; Non-symbiotic hemoglobin / stress-resilience candidate; Stress_resilience; Carotenoid cleavage dioxygenase / hormone-related regulation; Hormone_regulation; bHLH-like transcriptional regulator; Developmental_TF	broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	rhizome	Monocot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Solanum_tuberosum	Solanum tuberosum	both_51_species_atlas_and_11_species_backbone	yes	yes	selected_for_backbone	Selected for high-confidence orthogroup backbone.	6	Early nodulin-like meristem/regrowth candidate; Meristem_bud_regrowth; Non-symbiotic hemoglobin / stress-resilience candidate; Stress_resilience; Carotenoid cleavage dioxygenase / hormone-related regulation; Hormone_regulation; NAC-like transcriptional regulator; Developmental_TF; bHLH-like transcriptional regulator	broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	tuber_stolon	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Zingiber_officinale	Zingiber officinale	both_51_species_atlas_and_11_species_backbone	yes	yes	selected_for_backbone	Selected for high-confidence orthogroup backbone.	6	Early nodulin-like meristem/regrowth candidate; Meristem_bud_regrowth; NAC-like transcriptional regulator; Developmental_TF; Non-symbiotic hemoglobin / stress-resilience candidate; Stress_resilience; Carotenoid cleavage dioxygenase / hormone-related regulation; Hormone_regulation; bHLH-like transcriptional regulator	broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	rhizome	Monocot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Allium_cepa	Allium cepa	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	bulb	Monocot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Beta_vulgaris	Beta vulgaris	both_51_species_atlas_and_11_species_backbone	yes	yes	selected_for_backbone	Selected for high-confidence orthogroup backbone.	8	MYB-like transcriptional regulator; Developmental_TF; XTH / xyloglucan cell-wall remodeling; Cell_wall_remodeling; Early nodulin-like meristem/regrowth candidate; Meristem_bud_regrowth; Non-symbiotic hemoglobin / stress-resilience candidate; Stress_resilience; Carotenoid cleavage dioxygenase / hormone-related regulation; Hormone_regulation; NAC-like transcriptional regulator; bHLH-like transcriptional regulator	broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	storage_root_hypocotyl	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Brassica_rapa	Brassica rapa	both_51_species_atlas_and_11_species_backbone	yes	yes	selected_for_backbone	Selected for high-confidence orthogroup backbone.	6	Early nodulin-like meristem/regrowth candidate; Meristem_bud_regrowth; Non-symbiotic hemoglobin / stress-resilience candidate; Stress_resilience; Carotenoid cleavage dioxygenase / hormone-related regulation; Hormone_regulation; NAC-like transcriptional regulator; Developmental_TF; bHLH-like transcriptional regulator	broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	storage_root	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Cardamine_amara	Cardamine amara	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	rhizome	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
