source_location	figure_file	extension	relative_path	exists	size_kb	modified	likely_role
public_repo	Figure_2_integrated_evolutionary_framework_v1.pdf	.pdf	20_public_repository/UGO-Omics/docs/figures/Figure_2_integrated_evolutionary_framework_v1.pdf	yes	8.8	2026-05-30 17:11:29	Figure 2 integrated evolutionary framework
public_repo	Figure_2_integrated_evolutionary_framework_v1.png	.png	20_public_repository/UGO-Omics/docs/figures/Figure_2_integrated_evolutionary_framework_v1.png	yes	136.9	2026-05-30 17:11:29	Figure 2 integrated evolutionary framework
public_repo	Figure_6_candidate_expansion_traceability_v1.pdf	.pdf	20_public_repository/UGO-Omics/docs/figures/Figure_6_candidate_expansion_traceability_v1.pdf	yes	26.7	2026-05-29 13:12:37	unclassified figure asset
public_repo	Figure_6_candidate_expansion_traceability_v1.png	.png	20_public_repository/UGO-Omics/docs/figures/Figure_6_candidate_expansion_traceability_v1.png	yes	349.9	2026-05-29 13:12:37	unclassified figure asset
public_repo	Figure_7_known_module_benchmark_recovery_v1.pdf	.pdf	20_public_repository/UGO-Omics/docs/figures/Figure_7_known_module_benchmark_recovery_v1.pdf	yes	18.0	2026-05-29 13:12:37	unclassified figure asset
public_repo	Figure_7_known_module_benchmark_recovery_v1.png	.png	20_public_repository/UGO-Omics/docs/figures/Figure_7_known_module_benchmark_recovery_v1.png	yes	384.8	2026-05-29 13:12:37	unclassified figure asset
public_repo	Figure_8_conserved_module_discovery_case_v1.pdf	.pdf	20_public_repository/UGO-Omics/docs/figures/Figure_8_conserved_module_discovery_case_v1.pdf	yes	36.4	2026-05-29 20:12:06	unclassified figure asset
public_repo	Figure_8_conserved_module_discovery_case_v1.png	.png	20_public_repository/UGO-Omics/docs/figures/Figure_8_conserved_module_discovery_case_v1.png	yes	710.7	2026-05-29 20:12:06	unclassified figure asset
public_repo	Figure_UGO_v2_3_1_relaxed_9of11_BUSCO_species_tree_v1.pdf	.pdf	20_public_repository/UGO-Omics/docs/figures/Figure_UGO_v2_3_1_relaxed_9of11_BUSCO_species_tree_v1.pdf	yes	5.2	2026-05-30 16:45:13	BUSCO species tree
public_repo	Figure_UGO_v2_3_1_relaxed_9of11_BUSCO_species_tree_v1.png	.png	20_public_repository/UGO-Omics/docs/figures/Figure_UGO_v2_3_1_relaxed_9of11_BUSCO_species_tree_v1.png	yes	70.8	2026-05-30 16:45:13	BUSCO species tree
public_repo	Figure_UGO_v2_3_2_module_phylogenetic_distribution_v1.pdf	.pdf	20_public_repository/UGO-Omics/docs/figures/Figure_UGO_v2_3_2_module_phylogenetic_distribution_v1.pdf	yes	7.9	2026-05-30 16:52:20	module phylogenetic distribution
public_repo	Figure_UGO_v2_3_2_module_phylogenetic_distribution_v1.png	.png	20_public_repository/UGO-Omics/docs/figures/Figure_UGO_v2_3_2_module_phylogenetic_distribution_v1.png	yes	91.2	2026-05-30 16:52:20	module phylogenetic distribution
final_package	Figure_2_integrated_evolutionary_framework_v1.pdf	.pdf	17_release_packages/UGO_Omics_MP_submission_ready_package_FINAL/resources/figures/Figure_2_integrated_evolutionary_framework_v1.pdf	yes	8.8	2026-05-30 17:11:30	Figure 2 integrated evolutionary framework
final_package	Figure_2_integrated_evolutionary_framework_v1.png	.png	17_release_packages/UGO_Omics_MP_submission_ready_package_FINAL/resources/figures/Figure_2_integrated_evolutionary_framework_v1.png	yes	136.9	2026-05-30 17:11:29	Figure 2 integrated evolutionary framework
final_package	Figure_8_conserved_module_discovery_case_v1.pdf	.pdf	17_release_packages/UGO_Omics_MP_submission_ready_package_FINAL/resources/figures/Figure_8_conserved_module_discovery_case_v1.pdf	yes	36.4	2026-05-29 20:12:06	unclassified figure asset
final_package	Figure_8_conserved_module_discovery_case_v1.png	.png	17_release_packages/UGO_Omics_MP_submission_ready_package_FINAL/resources/figures/Figure_8_conserved_module_discovery_case_v1.png	yes	710.7	2026-05-29 20:12:06	unclassified figure asset
final_package	Figure_UGO_v2_3_1_relaxed_9of11_BUSCO_species_tree_v1.pdf	.pdf	17_release_packages/UGO_Omics_MP_submission_ready_package_FINAL/resources/figures/Figure_UGO_v2_3_1_relaxed_9of11_BUSCO_species_tree_v1.pdf	yes	5.2	2026-05-30 16:42:35	BUSCO species tree
final_package	Figure_UGO_v2_3_1_relaxed_9of11_BUSCO_species_tree_v1.png	.png	17_release_packages/UGO_Omics_MP_submission_ready_package_FINAL/resources/figures/Figure_UGO_v2_3_1_relaxed_9of11_BUSCO_species_tree_v1.png	yes	70.8	2026-05-30 16:42:35	BUSCO species tree
final_package	Figure_UGO_v2_3_2_module_phylogenetic_distribution_v1.pdf	.pdf	17_release_packages/UGO_Omics_MP_submission_ready_package_FINAL/resources/figures/Figure_UGO_v2_3_2_module_phylogenetic_distribution_v1.pdf	yes	7.9	2026-05-30 16:52:23	module phylogenetic distribution
final_package	Figure_UGO_v2_3_2_module_phylogenetic_distribution_v1.png	.png	17_release_packages/UGO_Omics_MP_submission_ready_package_FINAL/resources/figures/Figure_UGO_v2_3_2_module_phylogenetic_distribution_v1.png	yes	91.2	2026-05-30 16:52:20	module phylogenetic distribution
