location	file	status
public_repo	UGO_v4_8_0_external_evidence_input_inventory_v1.tsv	removed
public_repo	UGO_v4_8_0_oryza_expression_candidate_anchor_recovery_v1.tsv	removed
public_repo	UGO_v4_8_0_oryza_expression_candidate_anchor_recovery_summary_v1.tsv	removed
public_repo	UGO_v4_8_0_qtl_gwas_candidate_family_overlap_scan_v1.tsv	removed
public_repo	UGO_v4_8_0_qtl_gwas_candidate_family_overlap_summary_v1.tsv	removed
public_repo	UGO_Omics_full_manuscript_draft_v4_8_0_external_evidence_scan.md	removed
final_package	UGO_v4_8_0_external_evidence_input_inventory_v1.tsv	removed
final_package	UGO_v4_8_0_oryza_expression_candidate_anchor_recovery_v1.tsv	removed
final_package	UGO_v4_8_0_oryza_expression_candidate_anchor_recovery_summary_v1.tsv	removed
final_package	UGO_v4_8_0_qtl_gwas_candidate_family_overlap_scan_v1.tsv	removed
final_package	UGO_v4_8_0_qtl_gwas_candidate_family_overlap_summary_v1.tsv	removed
final_package	UGO_Omics_full_manuscript_draft_v4_8_0_external_evidence_scan.md	not_present
final_package_manuscript_or_submission	UGO_Omics_full_manuscript_draft_v4_8_0_external_evidence_scan.md	removed
final_package_manuscript_or_submission	UGO_Omics_full_manuscript_draft_v4_8_0_external_evidence_scan.md	removed
public_repo_json	UGO_v4_8_0_external_evidence_scan_summary_v1.json	removed
final_package_json	UGO_v4_8_0_external_evidence_scan_summary_v1.json	removed
