href	type	status
#top	anchor	ok
#question-workflows	anchor	ok
#question-workflows	anchor	ok
#question-workflows	anchor	ok
#question-workflows	anchor	ok
#actionability-layer	anchor	ok
resources/source_tables/UGO_v4_5_0_known_gene_anchor_panel_v1.tsv	local_file	ok
resources/source_tables/UGO_v4_5_0_species_specific_actionability_use_cases_v1.tsv	local_file	ok
resources/source_tables/UGO_v4_5_1_calibrated_actionable_candidate_family_ranking_v1.tsv	local_file	ok
resources/source_tables/UGO_v4_8_1_external_evidence_conservative_readiness_summary_v1.tsv	local_file	ok
resources/source_tables/UGO_v4_5_0_known_gene_anchor_panel_v1.tsv	local_file	ok
resources/source_tables/UGO_v4_5_1_calibrated_actionable_candidate_family_ranking_v1.tsv	local_file	ok
resources/source_tables/UGO_v4_5_0_species_specific_actionability_use_cases_v1.tsv	local_file	ok
resources/source_tables/UGO_v4_5_0_module_to_known_anchor_summary_v1.tsv	local_file	ok
#	anchor	missing_anchor
#	anchor	missing_anchor
#	anchor	missing_anchor
#	anchor	missing_anchor
toolkits/P2_v2_0_1_sequence_to_ugo/examples/example_query_proteins.fa	local_file	ok
toolkits/P2_v2_0_1_sequence_to_ugo/example_results/example_sequence_to_UGO_result.tsv	local_file	ok
toolkits/P2_v2_0_2_gene_list_to_ugo/examples/example_gene_list.txt	local_file	ok
toolkits/P2_v2_0_2_gene_list_to_ugo/example_results/example_gene_list_to_UGO.module_summary.tsv	local_file	ok
json/ugo_v2_0_3_species_resource_finder_v1.json	local_file	ok
json/ugo_v2_0_3_organ_kits_v1.json	local_file	ok
toolkits/P2_v2_0_1_sequence_to_ugo/example_results/example_sequence_to_UGO_result.tsv	local_file	ok
#actionability-layer	anchor	ok
json/ugo_v2_0_1_sequence_to_ugo_toolkit_v1.json	local_file	ok
toolkits/P2_v2_0_1_sequence_to_ugo/database/README_large_files.md	local_file	ok
toolkits/P2_v2_0_1_sequence_to_ugo/database/UGO_orthogroup_to_candidate_module_lookup_v1.tsv	local_file	ok
toolkits/P2_v2_0_1_sequence_to_ugo/database/UGO_sequence_to_candidate_module_lookup_v1.tsv	local_file	ok
json/ugo_v2_0_1_sequence_to_ugo_toolkit_v1.json	local_file	ok
toolkits/P2_v2_0_2_gene_list_to_ugo/example_results/example_gene_list_to_UGO.module_summary.tsv	local_file	ok
toolkits/P2_v2_0_2_gene_list_to_ugo/database/UGO_candidate_gene_lookup_compact_v1.tsv	local_file	ok
toolkits/P2_v2_0_2_gene_list_to_ugo/database/UGO_orthogroup_to_candidate_module_lookup_v1.tsv	local_file	ok
toolkits/P2_v2_0_2_gene_list_to_ugo/example_results/example_gene_list_to_UGO.module_summary.tsv	local_file	ok
json/ugo_v2_0_2_gene_list_to_ugo_toolkit_v1.json	local_file	ok
json/ugo_v1_8_gene_to_ugo_v1.json	local_file	ok
json/ugo_v1_8_organ_to_candidates_v1.json	local_file	ok
json/ugo_v1_8_species_to_candidates_v1.json	local_file	ok
json/ugo_v1_8_validation_targets_v1.json	local_file	ok
json/ugo_score_explorer_v1.json	local_file	ok
json/candidate_expansion_traceability_v1.json	local_file	ok
json/species_browser_v1.json	local_file	ok
json/ugo_v1_8_application_dashboard_summary_v1.json	local_file	ok
json/ugo_v1_9_biological_discovery_cases_v1.json	local_file	ok
json/ugo_v1_9_validation_ready_shortlist_v1.json	local_file	ok
