check	status
actionability_anchor_exists	pass
actionable_candidates_has_scroll_attr	pass
final_scroll_script_present	pass
no_relative_parent_source_table_links	pass
no_plain_relative_source_table_links	pass
project_root_links_present	pass
source_table:UGO_v4_5_0_known_gene_anchor_panel_v1.tsv	copied_to_docs
source_table:UGO_v4_5_0_module_to_known_anchor_summary_v1.tsv	copied_to_docs
source_table:UGO_v4_5_0_species_specific_actionability_use_cases_v1.tsv	copied_to_docs
source_table:UGO_v4_5_1_calibrated_actionable_candidate_family_ranking_v1.tsv	copied_to_docs
source_table:UGO_v4_8_1_external_evidence_conservative_readiness_summary_v1.tsv	copied_to_docs
