check	status
force_navigation_script_present	pass
gene_centered_anchor_present	pass
organ_centered_anchor_present	pass
species_centered_anchor_present	pass
candidate_prioritization_anchor_present	pass
actionability_anchor_present	pass
start_links_have_scroll_targets	fail
file_links_have_data_attr	pass
actionable_candidates_scroll_target_present	pass
known_gene_anchor_absolute_path_present	pass
no_parent_relative_source_table_links	pass
source_table:UGO_v4_5_0_known_gene_anchor_panel_v1.tsv	copied_to_docs
source_table:UGO_v4_5_0_module_to_known_anchor_summary_v1.tsv	copied_to_docs
source_table:UGO_v4_5_0_species_specific_actionability_use_cases_v1.tsv	copied_to_docs
source_table:UGO_v4_5_1_calibrated_actionable_candidate_family_ranking_v1.tsv	copied_to_docs
source_table:UGO_v4_8_1_external_evidence_conservative_readiness_summary_v1.tsv	copied_to_docs
