check	status
old_click_scripts_removed	pass
no_data_ugo_scroll_target	pass
no_data_scroll_target	pass
gene_anchor_present	pass
organ_anchor_present	pass
species_anchor_present	pass
candidate_anchor_present	pass
actionability_anchor_present	pass
known_gene_absolute_link_present	pass
no_parent_relative_source_table_links	pass
no_plain_relative_source_table_links	pass
deploy_marker_present	pass
source_table:UGO_v4_5_0_known_gene_anchor_panel_v1.tsv	copied_to_docs
source_table:UGO_v4_5_0_module_to_known_anchor_summary_v1.tsv	copied_to_docs
source_table:UGO_v4_5_0_species_specific_actionability_use_cases_v1.tsv	copied_to_docs
source_table:UGO_v4_5_1_calibrated_actionable_candidate_family_ranking_v1.tsv	copied_to_docs
source_table:UGO_v4_8_1_external_evidence_conservative_readiness_summary_v1.tsv	copied_to_docs
