check	status
home_button_present	pass
start_here_dropdown_present	pass
gene_centered_query_present	pass
organ_centered_discovery_present	pass
species_centered_exploration_present	pass
candidate_prioritization_present	pass
old_i_have_a_gene_removed	pass
old_i_study_an_organ_removed	pass
old_i_study_a_species_removed	pass
old_validation_targets_card_removed	pass
actionability_before_help	fail
nav_order_ok	fail
reordered_actionability_help	fail
question_workflows_anchor_present	pass
