check	status
nav_replaced	pass
final_nav_css_present	pass
home_present	pass
start_dropdown_present	pass
actionability_before_help	pass
nav_order_ok	pass
old_raw_home_not_present	pass
old_naked_discovery_workflows_not_present	pass
gene_centered_query_present	pass
organ_centered_discovery_present	pass
species_centered_exploration_present	pass
candidate_prioritization_present	pass
old_i_have_a_gene_removed	pass
old_i_study_an_organ_removed	pass
old_i_study_a_species_removed	pass
old_i_want_validation_removed	pass
duplicate_homepage_narrative_removed	pass
