check	status
inserted_home_start	pass
inserted_actionability	fail
home_button_present	pass
start_custom_nav_present	pass
start_menu_hidden_css_present	pass
actionability_custom_nav_present	pass
actionability_before_help	fail
analyze_your_data_untouched_present	pass
explore_resources_untouched_present	pass
evidence_discovery_untouched_present	fail
help_downloads_present	fail
no_orphan_discovery_workflows	pass
no_naked_home_link	pass
gene_centered_query_present	pass
organ_centered_discovery_present	pass
species_centered_exploration_present	pass
candidate_prioritization_present	pass
