check	status
page_exists:index.html	pass
page_exists:known-gene-anchors.html	pass
page_exists:species-use-cases.html	pass
page_exists:calibrated-ranking.html	pass
page_exists:external-evidence-readiness.html	pass
homepage_link:Actionable Candidates	pass
homepage_link:Known-gene Anchors	pass
homepage_link:Species Use Cases	pass
homepage_link:Calibrated Candidate Ranking	pass
homepage_link:External Evidence Readiness	pass
source_table:UGO_v4_5_0_known_gene_anchor_panel_v1.tsv	copied_to_docs
source_table:UGO_v4_5_0_species_specific_actionability_use_cases_v1.tsv	copied_to_docs
source_table:UGO_v4_5_1_calibrated_actionable_candidate_family_ranking_v1.tsv	copied_to_docs
source_table:UGO_v4_8_1_external_evidence_conservative_readiness_summary_v1.tsv	copied_to_docs
source_table:UGO_v4_5_0_module_to_known_anchor_summary_v1.tsv	copied_to_docs
source_table:UGO_v4_6_0_known_regulator_recovery_summary_v1.tsv	copied_to_docs
source_table:UGO_v4_7_0_oryza_rhizome_actionable_candidate_family_ranking_v1.tsv	copied_to_docs
deployment_marker_present	pass
