check	status
deployment_marker_present	pass
navbar_still_has_actionability_dropdown	pass
actionable_candidates_replaced_once	pass
known_gene_replaced_once	pass
species_use_cases_replaced_once	pass
calibrated_ranking_replaced_once	pass
external_readiness_replaced_once	pass
actionability_link_now_homepage_anchor	pass
known_gene_link_now_homepage_anchor	pass
inpage_panel_inserted	pass
known_gene_panel_present	pass
species_use_cases_panel_present	pass
calibrated_ranking_panel_present	pass
external_readiness_panel_present	pass
source_table:UGO_v4_5_0_known_gene_anchor_panel_v1.tsv	copied_to_docs
source_table:UGO_v4_5_0_species_specific_actionability_use_cases_v1.tsv	copied_to_docs
source_table:UGO_v4_5_1_calibrated_actionable_candidate_family_ranking_v1.tsv	copied_to_docs
source_table:UGO_v4_8_1_external_evidence_conservative_readiness_summary_v1.tsv	copied_to_docs
