check	status
deployment_marker_present	pass
navbar_unchanged	pass
homepage_panel_present	pass
actionability_anchor_present	pass
known_gene_panel_present	pass
species_use_cases_panel_present	pass
calibrated_ranking_panel_present	pass
external_readiness_panel_present	pass
redirect_page_exists:index.html	pass
redirect_target:index.html	pass
redirect_page_exists:known-gene-anchors.html	pass
redirect_target:known-gene-anchors.html	pass
redirect_page_exists:species-use-cases.html	pass
redirect_target:species-use-cases.html	pass
redirect_page_exists:calibrated-ranking.html	pass
redirect_target:calibrated-ranking.html	pass
redirect_page_exists:external-evidence-readiness.html	pass
redirect_target:external-evidence-readiness.html	pass
source_table:UGO_v4_5_0_known_gene_anchor_panel_v1.tsv	pass
source_table:UGO_v4_5_0_species_specific_actionability_use_cases_v1.tsv	pass
source_table:UGO_v4_5_1_calibrated_actionable_candidate_family_ranking_v1.tsv	pass
source_table:UGO_v4_8_1_external_evidence_conservative_readiness_summary_v1.tsv	pass
