check	status
deployment_marker_present	pass
actionability_dropdown_still_present	pass
overview_link_cache_busted	pass
known_gene_link_cache_busted	pass
species_link_cache_busted	pass
ranking_link_cache_busted	pass
readiness_link_cache_busted	pass
redirect_page_exists:index.html	pass
redirect_target:index.html	pass
redirect_no_cache:index.html	pass
redirect_page_exists:known-gene-anchors.html	pass
redirect_target:known-gene-anchors.html	pass
redirect_no_cache:known-gene-anchors.html	pass
redirect_page_exists:species-use-cases.html	pass
redirect_target:species-use-cases.html	pass
redirect_no_cache:species-use-cases.html	pass
redirect_page_exists:calibrated-ranking.html	pass
redirect_target:calibrated-ranking.html	pass
redirect_no_cache:calibrated-ranking.html	pass
redirect_page_exists:external-evidence-readiness.html	pass
redirect_target:external-evidence-readiness.html	pass
redirect_no_cache:external-evidence-readiness.html	pass
replace_count:/UGO-Omics/actionability/	pass
replace_count:/UGO-Omics/actionability/known-gene-anchors.html	pass
replace_count:/UGO-Omics/actionability/species-use-cases.html	pass
replace_count:/UGO-Omics/actionability/calibrated-ranking.html	pass
replace_count:/UGO-Omics/actionability/external-evidence-readiness.html	pass
