check	status
deployment_marker_present	pass
actionability_dropdown_still_present	pass
actionable_view_link_present	pass
known_gene_view_link_present	pass
species_view_link_present	pass
ranking_view_link_present	pass
readiness_view_link_present	pass
view_switcher_script_present	pass
view_switcher_css_present	pass
navbar_not_rebuilt	pass
replace_count:Actionable Candidates	pass
replace_count:Known-gene Anchors	pass
replace_count:Species Use Cases	pass
replace_count:Calibrated Candidate Ranking	pass
replace_count:External Evidence Readiness	pass
source_table:UGO_v4_5_0_known_gene_anchor_panel_v1.tsv	pass
source_table:UGO_v4_5_0_species_specific_actionability_use_cases_v1.tsv	pass
source_table:UGO_v4_5_1_calibrated_actionable_candidate_family_ranking_v1.tsv	pass
source_table:UGO_v4_8_1_external_evidence_conservative_readiness_summary_v1.tsv	pass
