check	status
actionability_dropdown_uses_same_page_overview	pass
known_gene_dropdown_uses_same_page_panel	pass
species_use_cases_dropdown_uses_same_page_panel	pass
ranking_dropdown_uses_same_page_panel	pass
external_readiness_dropdown_uses_same_page_panel	pass
inpage_panel_section_present	pass
known_gene_panel_present	pass
species_use_cases_panel_present	pass
calibrated_ranking_panel_present	pass
external_readiness_panel_present	pass
old_actionability_page_link_removed_from_dropdown	pass
deployment_marker_present	pass
source_table:UGO_v4_5_0_known_gene_anchor_panel_v1.tsv	copied_to_docs
source_table:UGO_v4_5_0_species_specific_actionability_use_cases_v1.tsv	copied_to_docs
source_table:UGO_v4_5_1_calibrated_actionable_candidate_family_ranking_v1.tsv	copied_to_docs
source_table:UGO_v4_8_1_external_evidence_conservative_readiness_summary_v1.tsv	copied_to_docs
source_table:UGO_v4_5_0_module_to_known_anchor_summary_v1.tsv	copied_to_docs
