check	status
deployment_marker_present	pass
hero_png_exists	pass
hero_pdf_archived	pass
new_hero_class_present	pass
hero_image_present	pass
only_full_name_under_title	pass
no_leaf_logo_in_header	pass
old_tagline_removed_from_header	pass
start_sentence_removed_from_header	pass
hero_height_210	pass
right_image_grid_65	pass
nav_still_valid	pass
start_switcher_still_present	pass
actionability_switcher_still_present	pass
find_organ_species_fix_still_present	pass
convert_method	pymupdf
hero_png_size_bytes	7323147
