check	status
deployment_marker_present	pass
source_image_exists	pass
hero_full_asset_exists	pass
hero_banner_asset_exists	pass
header_uses_cropped_banner	pass
no_old_text_overlay	pass
cropped_banner_css_present	pass
hero_height_260	pass
object_position_center	pass
nav_still_valid	pass
start_switcher_still_present	pass
actionability_switcher_still_present	pass
find_organ_species_fix_still_present	pass
source_width	1774
source_height	887
crop_box_left_top_right_bottom	0,266,1774,620
target_ratio	5.0
banner_width	2200
banner_height	440
hero_banner_size_bytes	1341245
