check	status
deployment_marker_present	pass
source_image_exists	pass
hero_full_asset_exists	pass
hero_removed_middle_band_asset_exists	pass
header_uses_removed_middle_band_image	pass
no_old_text_overlay	pass
remove_middle_band_css_present	pass
hero_height_260	pass
object_position_center	pass
nav_still_valid	pass
start_switcher_still_present	pass
actionability_switcher_still_present	pass
find_organ_species_fix_still_present	pass
source_width	1774
source_height	887
remove_top_ratio	0.32
remove_bottom_ratio	0.62
removed_band_y1_y2	283,549
new_stitched_height_before_resize	621
web_banner_width	2200
web_banner_height	770
hero_removed_middle_band_size_bytes	1496698
