check	status
deployment_marker_present	pass
source_image_exists	pass
hero_original_asset_exists	pass
hero_trimmed_asset_exists	pass
header_uses_trimmed_image	pass
full_bleed_css_present	pass
body_margin_zero	pass
image_width_100vw	pass
no_old_text_overlay	pass
nav_still_valid	pass
start_switcher_still_present	pass
actionability_switcher_still_present	pass
find_organ_species_fix_still_present	pass
source_width	3891
source_height	522
trim_bbox_left_top_right_bottom	0,0,3891,522
trimmed_width	3891
trimmed_height	522
hero_trimmed_size_bytes	2459290
