check	status
deployment_marker_present	pass
source_image_exists	pass
hero_source_copy_exists	pass
hero_clean_asset_exists	pass
header_uses_strict_clean_image	pass
strict_clean_css_present	pass
no_width_100vw	pass
no_fixed_height_260	pass
image_height_auto	pass
image_object_fit_contain	pass
no_old_text_overlay	pass
nav_still_valid	pass
start_switcher_still_present	pass
actionability_switcher_still_present	pass
find_organ_species_fix_still_present	pass
source_width	3973
source_height	522
crop_left_top_right_bottom	3,2,3830,504
removed_left_px	3
removed_top_px	2
removed_right_px	143
removed_bottom_px	18
clean_width	2400
clean_height	314
hero_clean_size_bytes	1157492
