check	status
deployment_marker_present	pass
source_phylogeny_exists	pass
source_modules_exists	pass
asset_phylogeny_exists	pass
asset_modules_exists	pass
key_results_section_present	pass
phylogeny_card_present	pass
modules_card_present	pass
phylogeny_asset_referenced	pass
modules_asset_referenced	pass
two_column_grid_present	pass
nav_still_valid	pass
start_switcher_still_present	pass
actionability_switcher_still_present	pass
find_organ_species_fix_still_present	pass
phylogeny_asset_size_bytes	72520
modules_asset_size_bytes	93412
