check	status
deployment_marker_present	pass
phylogeny_asset_exists	pass
modules_asset_exists	pass
key_results_section_present	pass
key_results_inserted_after_main_or_nav	pass
visible_css_present	pass
forced_display_block	pass
phylogeny_card_present	pass
modules_card_present	pass
phylogeny_asset_referenced	pass
modules_asset_referenced	pass
nav_still_valid	pass
start_switcher_still_present	pass
actionability_switcher_still_present	pass
phylogeny_source	/vast/palmer/scratch/coughlan/hc858/UGO_Omics/home_phylogeny.png
modules_source	/vast/palmer/scratch/coughlan/hc858/UGO_Omics/home_modules.png
phylogeny_asset_size_bytes	72520
modules_asset_size_bytes	93412
home_key_results_position	43777
main_position	43760
