check	status
deployment_marker_present	pass
key_results_section_present	pass
key_results_after_home_title	pass
phylogeny_asset_exists	pass
modules_asset_exists	pass
phylogeny_asset_referenced	pass
modules_asset_referenced	pass
no_global_v46_section_class	pass
no_v46_visible_css	pass
home_only_css_present	pass
nav_still_valid	pass
start_switcher_still_present	pass
analyze_nav_text_still_present	pass
actionability_switcher_still_present	pass
find_organ_species_fix_still_present	pass
home_title_position	47902
home_key_results_position	50205
phylogeny_asset_size_bytes	72520
modules_asset_size_bytes	93412
