check	status
deployment_marker_present	pass
home_results_and_button_css_present	pass
home_visibility_script_present	pass
home_anchor_present	pass
home_anchor_has_nav_btn	pass
home_anchor_has_ugo_home_button	pass
home_anchor_has_no_inline_style	pass
home_key_results_present	pass
home_only_visibility_present	pass
start_with_your_question_absent	pass
title_uses_51_species_phylogeny	pass
no_11_species_phylogeny_label	pass
phylogeny_asset_exists	pass
modules_asset_exists	pass
phylogeny_asset_referenced	pass
modules_asset_referenced	pass
nav_still_valid	pass
start_here_nav_text_still_present	pass
analyze_nav_text_still_present	pass
explore_resources_nav_text_still_present	pass
help_downloads_nav_text_still_present	pass
actionability_nav_text_still_present	pass
start_switcher_still_present	pass
actionability_switcher_still_present	pass
home_replacement_count	1
phylogeny_source_used	/vast/palmer/scratch/coughlan/hc858/UGO_Omics/home_phylogeny.png
modules_source_used	/vast/palmer/scratch/coughlan/hc858/UGO_Omics/home_modules.png
phylogeny_asset_size_bytes	72520
modules_asset_size_bytes	93412
