check	status
deployment_marker_present	pass
inserted_actionability	pass
method_before_help_or_nav	pass
actionability_native_dropdown_present	pass
absolute_actionability_link_present	pass
absolute_known_gene_link_present	pass
absolute_species_link_present	pass
absolute_ranking_link_present	pass
absolute_readiness_link_present	pass
actionability_before_help	fail
actionability_anchor_after_nav	pass
known_gene_anchor_after_nav	pass
start_here_still_present	pass
analyze_still_present	pass
help_still_present	fail
insert_method	before_help_dropdown
button_class_used	nav-btn
