major_clade	organ	species	is_backbone	y
Monocot	rhizome	Oryza longistaminata	False	53.0
Monocot	rhizome	Zingiber officinale	False	52.0
Monocot	rhizome	Miscanthus floridulus	False	51.0
Monocot	rhizome	Phragmites australis	False	50.0
Monocot	rhizome	Phyllostachys edulis	False	49.0
Monocot	rhizome	Sorghum halepense	False	48.0
Monocot	rhizome	Zizania latifolia	False	47.0
Monocot	rhizome_corm	Musa acuminata	False	46.0
Monocot	rhizome_crown	Panicum virgatum	False	45.0
Monocot	rhizome_crown	Brachypodium sylvaticum	False	44.0
Monocot	rhizome_bud	Saccharum spontaneum	False	43.0
Monocot	tuber	Dioscorea rotundata	False	42.0
Monocot	tuber	Dioscorea alata	False	41.0
Monocot	corm	Colocasia esculenta	False	40.0
Monocot	corm	Crocus sativus	False	39.0
Monocot	corm	Gladiolus hybridus	False	38.0
Monocot	corm	Xanthosoma sagittifolium	False	37.0
Monocot	bulb	Allium cepa	False	36.0
Monocot	bulb	Allium sativum	False	35.0
Monocot	bulb	Lilium longiflorum	False	34.0
Monocot	bulb	Tulipa gesneriana	False	33.0
Monocot	crown_sucker	Ananas comosus	False	32.0
Monocot	rhizome_basal_shoot	Agave tequilana	False	31.0
Eudicot	rhizome	Nelumbo nucifera	False	28.0
Eudicot	rhizome	Cardamine amara	False	27.0
Eudicot	rhizome	Mimulus guttatus	False	26.0
Eudicot	rhizome	Nymphaea colorata	False	25.0
Eudicot	rhizome_crown	Arabidopsis halleri	False	24.0
Eudicot	tuber	Apios americana	False	23.0
Eudicot	tuber	Cyclamen persicum	False	22.0
Eudicot	tuber	Helianthus tuberosus	False	21.0
Eudicot	tuber_stolon	Solanum tuberosum	False	20.0
Eudicot	storage_root	Brassica rapa	False	19.0
Eudicot	storage_root	Manihot esculenta	False	18.0
Eudicot	storage_root	Arracacia xanthorrhiza	False	17.0
Eudicot	storage_root	Ipomoea batatas	False	16.0
Eudicot	storage_root	Pachyrhizus erosus	False	15.0
Eudicot	storage_root	Raphanus sativus	False	14.0
Eudicot	storage_root	Smallanthus sonchifolius	False	13.0
Eudicot	taproot_storage_root	Daucus carota	False	12.0
Eudicot	root_crown	Eutrema salsugineum	False	11.0
Eudicot	root_crown	Medicago sativa	False	10.0
Eudicot	storage_root_hypocotyl	Beta vulgaris	False	9.0
Eudicot	taproot	Cichorium intybus	False	8.0
Eudicot	taproot	Taraxacum kok-saghyz	False	7.0
Eudicot	tuberous_root	Dahlia pinnata	False	6.0
Eudicot	stolon_crown	Fragaria vesca	False	5.0
Eudicot	rhizome_root	Glycyrrhiza uralensis	False	4.0
Eudicot	root_crown_tuberous_root	Paeonia lactiflora	False	3.0
Eudicot	root_crown_taproot	Trifolium pratense	False	2.0
Eudicot	stolon	Trifolium repens	False	1.0
