check	status
deployment_marker_present	pass
source_plot_table_exists	pass
rebuilt_png_created	pass
rebuilt_pdf_created	pass
rebuilt_svg_created	pass
website_asset_created	pass
index_uses_v5333_asset	pass
n_species_51	pass
has_monocot_and_eudicot	pass
organ_labels_are_display_names	pass
organ_palette_has_expanded_colors	pass
has_backbone_star_species	pass
no_analysis_layer_legend_by_design	pass
no_title_subtitle_column_headers_by_design	pass
pure_white_background_by_design	pass
module_image_reference_present	pass
navigation_still_present	pass
final_package_synced	pass
