Table_part	V0_6_Orthogroup	Mapped_9species_Orthogroup	Representative_function	Benchmark_module	Candidate_tier	Species	Gene_count	Present	Notes
Candidate_remapping_summary	OG0000387	OG0000154	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	ALL	75	Traceable_in_expanded_species	Candidate remapping summary across the 9-species expanded backbone.
Candidate_remapping_summary	OG0000729	OG0000863	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	ALL	40	Traceable_in_expanded_species	Candidate remapping summary across the 9-species expanded backbone.
Candidate_remapping_summary	OG0000665	OG0000273	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	ALL	61	Traceable_in_expanded_species	Candidate remapping summary across the 9-species expanded backbone.
Candidate_remapping_summary	OG0004093	OG0000139	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	ALL	78	Traceable_in_expanded_species	Candidate remapping summary across the 9-species expanded backbone.
Candidate_remapping_summary	OG0000885	OG0000767	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	ALL	42	Traceable_in_expanded_species	Candidate remapping summary across the 9-species expanded backbone.
Candidate_remapping_summary	OG0004936	OG0004958	Non-symbiotic hemoglobin / stress-resilience candidate	Stress_resilience	Tier_A_supported_main_text_candidate	ALL	18	Traceable_in_expanded_species	Candidate remapping summary across the 9-species expanded backbone.
Candidate_remapping_summary	OG0006254	OG0006937	Carotenoid cleavage dioxygenase / hormone-related regulation	Hormone_regulation	Tier_B_no_new_lotus_ginger_support	ALL	14	Traceable_in_expanded_species	Candidate remapping summary across the 9-species expanded backbone.
Candidate_remapping_summary	OG0003573	OG0003725	NAC-like transcriptional regulator	Developmental_TF	Tier_B_no_new_lotus_ginger_support	ALL	21	Traceable_in_expanded_species	Candidate remapping summary across the 9-species expanded backbone.
Figure6_species_gene_count_source	OG0000387	OG0000154	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	Beta	10	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000387	OG0000154	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	Brassica	8	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000387	OG0000154	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	Musa	12	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000387	OG0000154	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	Carrot	1	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000387	OG0000154	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	Cassava	17	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000387	OG0000154	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	Lotus	10	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000387	OG0000154	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	Oryza	3	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000387	OG0000154	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	Potato	4	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000387	OG0000154	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	Ginger	10	True	Figure 6 species-level candidate traceability source row.
