gene_id	protein_id	ugo_protein_id	species	orthogroup	species_present_11	candidate_function	benchmark_module	candidate_tier	ugo_score	validation_priority_score	validation_priority_class	biological_discovery_case	suggested_validation_system	suggested_assay
LOC104882962	Beta_vulgaris|gene=LOC104882962|len=364|source=XP_010665700.1	UGOseq_000000145	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104883085	Beta_vulgaris|gene=LOC104883085|len=423|source=XP_010665842.1	UGOseq_000000248	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104883294	Beta_vulgaris|gene=LOC104883294|len=406|source=XP_010666084.1	UGOseq_000000424	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104883306	Beta_vulgaris|gene=LOC104883306|len=1365|source=XP_010666096.1	UGOseq_000000433	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104883407	Beta_vulgaris|gene=LOC104883407|len=422|source=XP_010666232.1	UGOseq_000000518	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104883646	Beta_vulgaris|gene=LOC104883646|len=342|source=XP_010666498.1	UGOseq_000000729	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104883828	Beta_vulgaris|gene=LOC104883828|len=444|source=XP_010666689.1	UGOseq_000000886	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104883978	Beta_vulgaris|gene=LOC104883978|len=117|source=XP_010666861.1	UGOseq_000001018	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104884144	Beta_vulgaris|gene=LOC104884144|len=208|source=XP_010667042.1	UGOseq_000001159	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104884250	Beta_vulgaris|gene=LOC104884250|len=869|source=XP_010667173.1	UGOseq_000001250	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
