ugo_protein_id	search_database_header	species	gene_id	protein_id	raw_input_header	orthogroup	species_present_11	candidate_function	benchmark_module	candidate_tier	ugo_score	validation_priority_score	validation_priority_class	biological_discovery_case	suggested_validation_system	suggested_assay
UGOseq_000000145	UGOseq_000000145|species=Beta_vulgaris|gene=LOC104882962|protein=Beta_vulgaris|gene=LOC104882962|len=364|source=XP_010665700.1|orthogroup=OG0000154	Beta_vulgaris	LOC104882962	Beta_vulgaris|gene=LOC104882962|len=364|source=XP_010665700.1	Beta_vulgaris|gene=LOC104882962|len=364|source=XP_010665700.1 PREDICTED: uncharacterized protein LOC104882962 [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000000248	UGOseq_000000248|species=Beta_vulgaris|gene=LOC104883085|protein=Beta_vulgaris|gene=LOC104883085|len=423|source=XP_010665842.1|orthogroup=OG0000139	Beta_vulgaris	LOC104883085	Beta_vulgaris|gene=LOC104883085|len=423|source=XP_010665842.1	Beta_vulgaris|gene=LOC104883085|len=423|source=XP_010665842.1 PREDICTED: uncharacterized protein LOC104883085 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000000424	UGOseq_000000424|species=Beta_vulgaris|gene=LOC104883294|protein=Beta_vulgaris|gene=LOC104883294|len=406|source=XP_010666084.1|orthogroup=OG0000154	Beta_vulgaris	LOC104883294	Beta_vulgaris|gene=LOC104883294|len=406|source=XP_010666084.1	Beta_vulgaris|gene=LOC104883294|len=406|source=XP_010666084.1 PREDICTED: uncharacterized protein LOC104883294 [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000000433	UGOseq_000000433|species=Beta_vulgaris|gene=LOC104883306|protein=Beta_vulgaris|gene=LOC104883306|len=1365|source=XP_010666096.1|orthogroup=OG0000139	Beta_vulgaris	LOC104883306	Beta_vulgaris|gene=LOC104883306|len=1365|source=XP_010666096.1	Beta_vulgaris|gene=LOC104883306|len=1365|source=XP_010666096.1 PREDICTED: uncharacterized protein LOC104883306 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000000518	UGOseq_000000518|species=Beta_vulgaris|gene=LOC104883407|protein=Beta_vulgaris|gene=LOC104883407|len=422|source=XP_010666232.1|orthogroup=OG0000139	Beta_vulgaris	LOC104883407	Beta_vulgaris|gene=LOC104883407|len=422|source=XP_010666232.1	Beta_vulgaris|gene=LOC104883407|len=422|source=XP_010666232.1 PREDICTED: uncharacterized protein LOC104883407 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000000729	UGOseq_000000729|species=Beta_vulgaris|gene=LOC104883646|protein=Beta_vulgaris|gene=LOC104883646|len=342|source=XP_010666498.1|orthogroup=OG0000139	Beta_vulgaris	LOC104883646	Beta_vulgaris|gene=LOC104883646|len=342|source=XP_010666498.1	Beta_vulgaris|gene=LOC104883646|len=342|source=XP_010666498.1 PREDICTED: uncharacterized protein LOC104883646 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000000886	UGOseq_000000886|species=Beta_vulgaris|gene=LOC104883828|protein=Beta_vulgaris|gene=LOC104883828|len=444|source=XP_010666689.1|orthogroup=OG0000139	Beta_vulgaris	LOC104883828	Beta_vulgaris|gene=LOC104883828|len=444|source=XP_010666689.1	Beta_vulgaris|gene=LOC104883828|len=444|source=XP_010666689.1 PREDICTED: uncharacterized protein LOC104883828 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000001018	UGOseq_000001018|species=Beta_vulgaris|gene=LOC104883978|protein=Beta_vulgaris|gene=LOC104883978|len=117|source=XP_010666861.1|orthogroup=OG0000154	Beta_vulgaris	LOC104883978	Beta_vulgaris|gene=LOC104883978|len=117|source=XP_010666861.1	Beta_vulgaris|gene=LOC104883978|len=117|source=XP_010666861.1 PREDICTED: cellular nucleic acid-binding protein homolog [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000001159	UGOseq_000001159|species=Beta_vulgaris|gene=LOC104884144|protein=Beta_vulgaris|gene=LOC104884144|len=208|source=XP_010667042.1|orthogroup=OG0000139	Beta_vulgaris	LOC104884144	Beta_vulgaris|gene=LOC104884144|len=208|source=XP_010667042.1	Beta_vulgaris|gene=LOC104884144|len=208|source=XP_010667042.1 PREDICTED: uncharacterized protein LOC104884144 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000001250	UGOseq_000001250|species=Beta_vulgaris|gene=LOC104884250|protein=Beta_vulgaris|gene=LOC104884250|len=869|source=XP_010667173.1|orthogroup=OG0000139	Beta_vulgaris	LOC104884250	Beta_vulgaris|gene=LOC104884250|len=869|source=XP_010667173.1	Beta_vulgaris|gene=LOC104884250|len=869|source=XP_010667173.1 PREDICTED: uncharacterized protein LOC104884250 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
